"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.292138333E0,-3.280726157E-1,-2.745431105E-1,-1.206115113E0,1.279734045E0
2.302108333E0,1.994429711E-1,-3.770511598E-1,1.216978655E0,1.289566641E0
2.312077333E0,-2.598316987E-1,-4.026712833E-1,3.265083466E0,3.300064653E0
2.322047333E0,5.954486478E-2,-6.085722848E-1,-1.556645751E-1,6.309812015E-1
2.332017333E0,-2.781532180E-1,-5.976081342E-1,-1.354612171E0,1.506478951E0
2.341987333E0,2.125444617E-1,-3.684002408E-1,-1.690578564E0,1.743258377E0
2.351957333E0,1.621685062E0,2.047330384E-1,-3.723916233E-1,1.676440747E0
2.361927333E0,1.389931839E0,3.301838991E-1,2.004485752E0,2.461482288E0
2.371896333E0,8.880711664E-1,-2.078672739E-1,1.579101983E0,1.823579522E0
2.381866333E0,4.539154408E-1,-1.567144975E-1,-1.313155997E-1,4.978377726E-1
2.391836333E0,-1.666498853E-1,-2.822090661E-1,-4.953059435E-1,5.939209703E-1
2.401806333E0,-5.128910060E-1,-3.952890913E-2,-8.222915983E-1,9.699397875E-1
2.411776333E0,-4.827651643E-1,3.181079918E-2,4.304018497E-2,4.857227484E-1
2.421746333E0,-4.094106014E-1,3.238720673E-2,7.145414472E-2,4.168592886E-1
2.431715333E0,-2.386922965E-1,1.284669276E-1,-1.079624636E0,1.113133917E0
2.441685333E0,-5.579537063E-1,2.414296614E-2,-3.987350839E-1,6.862105278E-1
2.451655333E0,-4.555755749E-1,2.664022149E-1,5.863909453E-1,7.889065758E-1
2.461625333E0,-3.157604991E-1,-6.110881224E-2,-5.308856660E-1,6.207081199E-1
2.471595333E0,-1.565679334E-1,-3.516857921E-1,2.106167078E-1,4.388118181E-1
2.481565333E0,3.781905994E-3,-1.338681194E-3,6.814988315E-1,6.815106399E-1
2.491534333E0,5.096911903E-2,3.005712236E-1,6.987334996E-1,7.623446826E-1
2.501504333E0,-1.943086041E-1,1.400280606E-1,2.890454113E-2,2.412450287E-1
2.511474333E0,-7.631731052E-2,-2.883238101E-1,-1.571983582E0,1.600027292E0
2.521444333E0,-3.004547909E-2,-1.732361890E-1,-1.595240298E0,1.604900345E0
2.531414333E0,-4.344723524E-1,-1.503599993E-1,-1.135867249E0,1.225385148E0
2.541384333E0,-3.154861551E-2,-5.107944138E-1,1.107173792E0,1.219729500E0
2.551353083E0,1.691750054E-1,-8.510987102E-1,3.124840922E0,3.243088033E0
2.561323083E0,-2.312860304E-1,-1.030045656E0,1.935850550E0,2.204995381E0
2.571293083E0,4.058040022E-1,-8.377231313E-1,-3.747480512E-1,1.003440599E0
2.581263083E0,1.162191560E0,1.998208748E-2,-2.133536140E0,2.429622392E0
2.591233083E0,8.299127130E-1,7.333525338E-2,-1.113799857E0,1.390928931E0
2.601203083E0,2.595724112E-1,2.154055409E-1,1.808426272E0,1.839614896E0
2.611172083E0,1.402327863E-1,1.102881351E-1,5.552960372E-1,5.832515718E-1
