"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.462322083E0,1.235367198E-1,-9.012130760E-3,1.253122634E-1,1.761979086E-1
1.472290083E0,7.094229408E-2,5.212800063E-2,-1.538694799E-2,8.936943385E-2
1.482259083E0,1.351423100E-2,9.305624440E-2,-1.245971489E-1,1.560978814E-1
1.492228083E0,-1.485978495E-2,1.259864473E-1,-6.428955138E-2,1.422200567E-1
1.502196083E0,-2.373578522E-2,8.943685446E-2,-3.424363375E-2,9.866592567E-2
1.512165083E0,-5.074469559E-3,1.036337844E-1,-2.482143044E-2,1.066855891E-1
1.522134083E0,3.345769487E-2,1.406756398E-1,-4.301796556E-3,1.446636044E-1
1.532103083E0,4.329804718E-2,1.511665314E-1,4.583164573E-2,1.637882195E-1
1.542071083E0,5.140309207E-2,1.345241862E-1,-7.484260619E-2,1.622974129E-1
1.552040083E0,3.526126854E-2,1.765411815E-1,-4.892716169E-2,1.865583367E-1
1.562009083E0,2.921532065E-2,2.059057523E-1,7.357025206E-2,2.205975879E-1
1.571977083E0,3.453913741E-3,1.907700884E-1,-1.516943157E-2,1.914034164E-1
1.581946083E0,-2.657091737E-2,1.544780289E-1,-1.181681353E-1,1.962987092E-1
1.591915083E0,-6.084671080E-2,1.129791699E-1,-3.376650095E-2,1.326905861E-1
1.601883083E0,-4.878993485E-2,1.128106605E-1,4.268759787E-2,1.301112365E-1
1.611852083E0,-3.991894126E-3,1.286772629E-1,-9.796775937E-2,1.617759410E-1
1.621821083E0,4.058497567E-2,8.782565419E-2,-1.542454559E-1,1.820773090E-1
1.631789083E0,1.431642148E-1,1.542162563E-1,1.220080018E-2,2.107783329E-1
1.641758083E0,9.884414736E-2,1.252290502E-1,2.465390772E-1,2.936562566E-1
1.651727083E0,3.672522862E-2,9.447894506E-3,-8.373212814E-2,9.191884688E-2
1.661695083E0,-1.269090649E-2,-6.075527497E-2,-1.739727920E-1,1.847127362E-1
1.671664083E0,1.478844892E-2,-5.085363653E-2,1.320143420E-1,1.422412635E-1
1.681633083E0,9.538928345E-2,1.605546746E-2,2.070557535E-1,2.285366021E-1
1.691602083E0,1.065632760E-1,6.210053656E-2,-1.074952126E-2,1.238053337E-1
1.701570083E0,8.576049071E-2,9.553436749E-2,-1.435263401E-1,1.925655407E-1
1.711539083E0,7.520608373E-2,1.395547285E-1,-7.807670116E-2,1.767128987E-1
1.721508083E0,9.985312097E-2,1.464229411E-1,1.158707643E-1,2.117459739E-1
1.731476083E0,1.056830873E-1,7.235271558E-2,-4.696951389E-2,1.364183479E-1
1.741445083E0,2.515249249E-2,-4.626587458E-2,-1.759345329E-1,1.836467775E-1
1.751414083E0,-2.665657908E-2,-6.179911260E-2,5.937379718E-2,8.974938059E-2
1.761382583E0,7.821334329E-2,6.816556100E-2,1.292877853E-1,1.657685199E-1
1.771351583E0,1.122872616E-1,1.365670571E-1,1.142838299E-2,1.771710985E-1
1.781320583E0,7.793870687E-2,1.107407461E-1,-1.974938017E-1,2.394613885E-1
1.791288583E0,7.874043323E-3,1.024572150E-1,-1.378358299E-1,1.719249762E-1
1.801257583E0,1.666460115E-2,1.131430382E-1,2.631907779E-1,2.869641817E-1
1.811226583E0,1.290063880E-2,8.262133989E-2,1.719783068E-1,1.912308821E-1
1.821194583E0,-2.694674715E-2,6.456722103E-2,-9.911615252E-2,1.213221534E-1
1.831163583E0,-3.929423936E-2,5.178670596E-2,-1.148866779E-1,1.320032155E-1
1.841132583E0,-7.683796853E-2,6.353284858E-2,1.155941910E-1,1.526516074E-1
1.851101583E0,-2.017613555E-1,-7.792949751E-3,2.140080929E-1,2.942241296E-1
1.861069583E0,-1.533429747E-1,7.893679004E-2,-2.884548426E-2,1.748632227E-1
1.871038583E0,2.252862755E-2,2.799848218E-1,-3.207455063E-1,4.263528108E-1
1.881007583E0,5.940047510E-2,3.486585058E-1,-2.823152661E-1,4.525406939E-1
1.890975583E0,1.171695405E-1,3.689403042E-1,-1.373002249E-1,4.107274048E-1
1.900944583E0,1.250112414E-1,2.718032515E-1,5.760852277E-2,3.046695913E-1
1.910913583E0,6.959714212E-2,1.778690842E-1,4.447976947E-3,1.910522384E-1
1.920881583E0,-4.408778675E-2,4.796266347E-2,1.860934854E-1,1.971672775E-1
1.930850583E0,-6.619161408E-2,2.066691063E-2,3.273429197E-1,3.346069904E-1
1.940819583E0,2.870076932E-1,4.148978113E-1,1.514715368E-1,5.267420965E-1
1.950787583E0,2.651759807E-1,6.505514925E-1,-8.591197014E-2,7.077544855E-1
1.960756583E0,6.961884990E-2,5.225904404E-1,-6.767076230E-1,8.578349257E-1
1.970725583E0,2.651200667E-2,3.105024270E-1,-5.612233597E-1,6.419394856E-1
1.980694583E0,2.736427490E-2,1.141722943E-1,1.095680505E-1,1.605903920E-1
1.990662583E0,-1.243757221E-1,-1.693940567E-1,5.521537435E-1,5.907938923E-1
2.000631583E0,1.387763545E-3,-1.641362770E-1,2.053448582E-1,2.628861999E-1
2.010600583E0,1.743107611E-1,-7.820760570E-3,-4.617195368E-2,1.804917035E-1
2.020568583E0,2.855482282E-1,1.598183275E-1,-4.289225042E-1,5.394943957E-1
2.030537583E0,2.446870812E-1,1.209028050E-1,-1.296766251E-1,3.021676407E-1
2.040506583E0,2.852352194E-2,-7.913311031E-2,2.149494946E-1,2.308222816E-1
2.050474583E0,-1.238298115E-1,-2.871040261E-1,1.988854390E-1,3.705643829E-1
2.060443583E0,-6.909271013E-2,-3.092555813E-1,1.819039553E-1,3.653790719E-1
2.070412583E0,3.180077668E-2,-1.800196536E-1,-3.529379368E-2,1.861827514E-1
2.080380583E0,-1.078415139E-1,-2.065109026E-1,2.438306469E-1,3.372386831E-1
2.090349583E0,-1.641440611E-1,-1.195544370E-1,1.486087400E-1,2.516368292E-1
2.100318583E0,-1.597200942E-1,1.094349898E-1,-1.295637739E-1,2.329663001E-1
2.110287583E0,3.664523140E-3,2.092152764E-1,-4.362093043E-1,4.838005971E-1
2.120255583E0,5.104458466E-2,2.472834277E-1,-4.784940290E-1,5.410278912E-1
2.130224583E0,-4.779846635E-2,9.916464787E-2,9.319409251E-2,1.442340447E-1
2.140193583E0,2.330623414E-2,-3.707690209E-2,1.516428602E-1,1.578399007E-1
2.150161583E0,6.785887454E-2,4.244387861E-2,2.052670902E-1,2.203199673E-1
2.160130583E0,9.072152428E-2,2.394154143E-1,2.844179249E-1,3.826796200E-1
2.170099583E0,1.519093105E-1,3.428879618E-1,-5.104268432E-2,3.784890336E-1
2.180067583E0,3.375561051E-2,1.592892275E-1,-4.222233492E-1,4.525318286E-1
2.190036583E0,6.302041322E-2,4.410123535E-2,-8.198965788E-2,1.124223974E-1
2.200005583E0,3.192732139E-1,1.917697430E-1,3.228300387E-1,4.928795526E-1
2.209974583E0,3.991997183E-1,1.626533134E-1,1.428112257E-1,4.541052319E-1
2.219942583E0,4.201420328E-1,2.552703588E-1,-4.125731045E-1,6.417934640E-1
2.229911583E0,2.375200394E-1,2.711333798E-1,-1.588507229E-1,3.939068810E-1
2.239880583E0,-7.097987705E-1,-1.867978190E-1,2.545877695E-1,7.768672037E-1
2.249848583E0,-6.480197943E-1,-3.331338194E-1,9.036170125E-2,7.342159304E-1
2.259817583E0,-3.732862473E-1,-6.560824469E-2,-6.275348783E-2,3.841680158E-1
2.269786583E0,-2.512362917E-1,-8.874863718E-2,-2.783350664E-1,3.853133842E-1
2.279754583E0,-9.254841372E-2,-8.561858609E-3,1.820384413E-1,2.043930244E-1
2.289723583E0,-5.715817753E-2,-9.648636729E-3,4.590081829E-1,4.626539370E-1
2.299692583E0,2.461896329E-1,4.218612604E-2,-1.464212966E-1,2.895310013E-1
2.309660583E0,4.946004038E-1,3.626225339E-1,-5.633844906E-1,8.327825321E-1
2.319629583E0,2.592789906E-1,4.332726865E-1,-2.612775689E-1,5.685215773E-1
2.329598583E0,2.150465949E-1,1.131307225E-1,-1.744277054E-1,2.991130602E-1
2.339567583E0,2.717288091E-1,-1.432768833E-1,-1.188195151E-1,3.293674060E-1
2.349535583E0,-1.097160581E-2,-1.794972779E-1,1.283901207E0,1.296434325E0
2.359504583E0,-3.459231418E-1,-3.106301521E-1,2.561647636E-1,5.308241682E-1
2.369473583E0,-3.521966926E-1,-3.851236795E-1,-5.238321698E-1,7.394341762E-1
2.379441583E0,1.355393725E-1,2.753060260E-1,-4.397234809E-1,5.362099114E-1
