"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.447301250E-1,3.122316314E-2,2.496552777E-2,3.767524767E-1,3.788675127E-1
8.546991250E-1,8.301050864E-2,2.074088157E-1,3.088130933E-1,3.811491676E-1
8.646681250E-1,1.720086027E-1,4.435067391E-1,5.707057893E-2,4.791056648E-1
8.746371250E-1,1.700464233E-1,5.946653402E-1,-1.335673624E-1,6.327581633E-1
8.846061250E-1,5.924110193E-2,5.782933191E-1,-2.146015853E-1,6.196664518E-1
8.945741250E-1,-1.470713608E-2,5.622279479E-1,-1.002247846E-1,5.712806427E-1
9.045431250E-1,1.197533154E-1,4.929867550E-1,-1.945193231E-1,5.433365111E-1
9.145121250E-1,7.633642361E-2,3.130964346E-1,-4.577831912E-1,5.598411177E-1
9.244811250E-1,6.168870986E-2,5.351678744E-1,-3.041645569E-1,6.186487116E-1
9.344501250E-1,-2.415989108E-2,7.029304849E-1,2.348662806E-1,7.415235240E-1
9.444191250E-1,-1.169561537E-1,4.723085154E-1,-3.600031275E-1,6.052737624E-1
9.543881250E-1,6.832950231E-2,2.942784501E-1,-5.845461488E-2,3.077103656E-1
9.643561250E-1,2.214330335E-1,3.275768083E-1,1.032081510E0,1.105229115E0
9.743251250E-1,1.039010205E-1,3.136071523E-1,2.288933498E-1,4.019166998E-1
9.842941250E-1,-9.633017354E-2,1.933525843E-1,-6.156521666E-1,6.524510054E-1
9.942631250E-1,-2.426869498E-1,1.309982786E-1,-5.301623654E-1,5.976032449E-1
1.004232125E0,-2.452609672E-1,-2.073679948E-1,-2.087450141E-1,3.830520959E-1
1.014201125E0,-1.647969758E-1,-3.266550313E-1,3.817799127E-1,5.287886671E-1
1.024169125E0,-2.467826502E-1,-3.499773453E-1,1.904408902E-1,4.686721150E-1
1.034138125E0,-2.319333537E-1,-3.394190280E-1,-2.396411169E-1,4.758426442E-1
1.044107125E0,-2.544611773E-1,-1.567024559E-1,2.872900772E-1,4.145379824E-1
1.054076125E0,-1.619844285E-1,-8.553416692E-2,1.737067437E-1,2.524461955E-1
1.064045125E0,-1.722044661E-1,-1.112174404E-1,-2.278940606E-1,3.065279760E-1
1.074014125E0,-1.457569433E-1,-5.509798419E-2,1.024397099E-1,1.864799414E-1
1.083983125E0,-6.951716317E-2,5.220967893E-2,3.363868082E-1,3.474400254E-1
1.093951125E0,-2.317388607E-2,2.156106320E-1,-9.230180740E-2,2.356790132E-1
1.103920125E0,1.318224254E-1,4.877378923E-1,-2.457415169E-1,5.618311993E-1
1.113889125E0,1.148743256E-1,5.090651363E-1,-1.532952833E-1,5.439143936E-1
1.123858125E0,1.482278670E-1,5.129298169E-1,-3.225031793E-2,5.348911858E-1
1.133827125E0,2.153242098E-1,6.381021126E-1,1.694335985E-1,6.944397495E-1
1.143796125E0,1.240471086E-1,4.958220334E-1,-9.415595949E-2,5.197042607E-1
1.153765125E0,1.439421868E-1,5.121346321E-1,-3.071343577E-1,6.142741637E-1
1.163733125E0,2.647905396E-1,4.063407035E-1,-1.320985419E-1,5.026696947E-1
1.173702125E0,3.512480915E-1,4.432304582E-1,4.527440608E-1,7.244347074E-1
1.183671125E0,2.262049827E-1,2.520803373E-1,1.025133848E-2,3.388484626E-1
1.193640125E0,8.239057587E-2,2.686262765E-1,-9.635568202E-2,2.970398978E-1
1.203609125E0,-1.770461251E-1,3.190122088E-1,-3.910033107E-3,3.648690288E-1
1.213578125E0,-5.693486871E-2,3.877246672E-1,-1.296000266E-1,4.127567852E-1
1.223547125E0,-6.255647320E-2,3.735894254E-1,-4.461893320E-2,3.814095178E-1
1.233515125E0,-1.757102922E-1,2.462361183E-1,-1.917389721E-1,3.581482460E-1
1.243484125E0,-3.643139141E-1,-2.666845989E-1,-8.187721592E-1,9.350043594E-1
1.253453125E0,-2.806736603E-1,-4.513236259E-1,7.241390669E-1,8.982472417E-1
1.263422125E0,-2.470620375E-1,-1.168059533E-1,1.603055102E0,1.626182321E0
1.273391125E0,-6.461231768E-2,5.275507797E-2,-5.463094515E-1,5.526408116E-1
1.283360125E0,1.591648098E-1,2.109073144E-1,-1.401686350E0,1.426373007E0
1.293328125E0,2.550624721E-1,1.042113432E-1,3.261553502E-1,4.269592266E-1
1.303297125E0,4.106226195E-1,1.464570742E-1,9.417548919E-1,1.037768224E0
1.313266125E0,4.127523948E-1,2.205129376E-1,4.188898516E-1,6.280598720E-1
1.323235125E0,5.726165132E-1,4.323417732E-1,-6.772660321E-1,9.866602041E-1
1.333204125E0,1.982930065E-1,3.624141172E-1,-4.306550342E-1,5.967644990E-1
1.343173125E0,-5.067803733E-2,2.304738522E-1,5.151186490E-1,5.665983432E-1
1.353142125E0,-2.895036503E-1,-6.480688378E-3,2.783795053E-1,4.016833477E-1
1.363110125E0,-1.233835227E-1,2.225706093E-3,-1.509207290E-1,1.949500293E-1
1.373079125E0,-1.842141172E-1,1.001872893E-1,-1.217717743E-1,2.424885542E-1
1.383048125E0,-8.031545386E-2,3.547625970E-1,3.759777206E-1,5.231312634E-1
1.393017125E0,-2.178400291E-1,4.618667770E-1,-1.093189591E-1,5.222315892E-1
1.402986125E0,-3.141186375E-2,5.987187032E-1,-9.333770013E-1,1.109343688E0
1.412955125E0,-4.133064184E-2,4.047817262E-1,-3.525338942E-1,5.383647596E-1
1.422924125E0,1.244806431E-1,3.321196564E-1,2.095794117E-1,4.119738177E-1
1.432892125E0,1.324713384E-1,4.057032839E-1,1.447507471E-1,4.506623890E-1
1.442861125E0,-9.664044142E-2,1.397848165E-1,-2.789712435E-1,3.266559727E-1
1.452830125E0,-7.054497577E-2,5.891365785E-2,1.287112498E-1,1.581581440E-1
1.462799125E0,6.026096597E-2,2.683903048E-1,7.883204448E-1,8.349334485E-1
1.472768125E0,-3.231882537E-1,3.624635993E-1,-4.945838124E-1,6.931404299E-1
1.482737125E0,-2.675472459E-1,5.675651402E-1,-1.419342602E0,1.551852164E0
1.492706125E0,-6.463268061E-1,4.519097362E-2,7.653198373E-1,1.002743745E0
1.502674125E0,-1.242781102E-1,-3.958253632E-1,-2.824058980E-1,5.018723524E-1
1.512643125E0,4.731179528E-2,-2.039331210E-1,1.729377764E0,1.742003035E0
1.522612125E0,1.152783317E-1,-5.739988681E-2,-7.296038747E-1,7.408816739E-1
1.532581125E0,6.463134306E-1,1.976471449E-1,-1.396929055E0,1.551836406E0
1.542550125E0,5.376959912E-1,1.662729957E-1,4.211720198E-1,7.029577216E-1
1.552519125E0,3.334249376E-1,2.353860249E-1,5.910774887E-1,7.182975479E-1
1.562487125E0,5.126252866E-1,1.913117599E-1,6.380458331E-1,8.405280240E-1
1.572456125E0,1.880438607E-1,2.780524267E-1,-1.223583670E0,1.268791016E0
1.582425125E0,7.532529384E-2,4.103375678E-1,2.450357580E-1,4.838319358E-1
1.592394125E0,-5.042065021E-2,2.983095571E-1,-3.539465815E-1,4.656275511E-1
1.602363125E0,-1.273383236E-1,-7.384364594E-2,-4.377997470E-1,4.618836987E-1
1.612332125E0,-2.673470519E-1,-3.801576758E-1,4.859843123E-1,6.724396303E-1
1.622301125E0,-2.916825056E-1,-5.493696649E-1,7.207248777E-1,9.520136880E-1
